date	created	modified	released
201110	2	0	24
201111	8	1	29
201112	3	2	21
201201	10	7	36
201202	2	1	13
201203	2	4	18
201204	1	1	9
201205	5	3	24
201206	2	2	21
201207	2	0	41
201208	0	2	12
201209	0	0	3
201210	6	4	33
201211	1	0	9
201212	2	2	6
201301	2	2	27
201302	6	3	27
201303	8	5	69
201304	4	5	30
201305	9	6	46
201306	10	7	63
201307	10	8	37
201308	4	3	30
201309	26	22	89
201310	22	9	57
201311	19	12	73
201312	26	15	82
201401	25	19	116
201402	29	16	150
201403	38	24	176
201404	33	20	127
201405	35	22	154
201406	47	23	246
201407	32	24	215
201408	42	27	187
201409	57	36	232
201410	56	27	215
201411	53	38	455
201412	64	52	271
201501	54	36	257
201502	46	41	247
201503	46	38	251
201504	62	50	354
201505	55	49	252
201506	87	59	407
201507	67	60	389
201508	77	62	423
201509	68	59	299
201510	96	61	585
201511	51	58	376
201512	52	35	250
201601	77	58	396
201602	71	60	417
201603	69	53	420
201604	69	59	519
201605	59	64	343
201606	56	50	312
201607	62	54	329
201608	75	61	518
201609	33	68	300
201610	48	73	235
201611	48	54	231
201612	40	42	253
201701	53	43	267
201702	40	59	224
201703	36	48	307
201704	36	47	206
201705	45	49	231
201706	25	47	128
201707	27	39	183
201708	28	30	248
201709	25	40	190
201710	21	33	213
201711	14	33	101
201712	20	36	134
201801	24	25	161
201802	11	47	142
201803	25	38	110
201804	13	20	101
201805	13	21	121
201806	28	23	100
201807	21	21	82
201808	13	26	137
201809	7	10	75
201810	12	9	100
201811	7	8	51
201812	4	4	39
201901	9	31	44
201902	12	20	67
201903	5	11	56
201904	8	24	110
201905	13	17	125
201906	8	9	82
201907	20	27	113
201908	12	25	127
201909	5	6	67
201910	3	10	43
201911	6	13	57
201912	5	10	59
202001	4	10	67
202002	1	16	42
202003	7	8	65
202004	8	11	64
202005	4	9	62
202006	2	7	46
202007	4	10	47
202008	4	30	68
202009	4	14	31
202010	3	12	44
202011	2	9	75
202012	2	9	10
202101	0	31	54
